,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,434.0,271.6405529953917,157.41437003775007,2.0,138.25,269.5,409.75,543.0
average_coauthors,434.0,6.865284058712095,2.6539584066515354,2.0,5.0,6.5,8.0,16.6666666666667
connected_countries,434.0,1.2304147465437787,0.578599338742782,1.0,1.0,1.0,1.0,5.0
connected_institutes,434.0,6.244239631336406,5.567994692341702,1.0,3.0,4.5,7.0,38.0
average_h_index_of_coauthors,434.0,20.15950757695714,13.56789644699585,0.666666666666667,9.75077639751553,16.950000000000003,27.324728260869577,72.0
average_DCM_papers_of_coauthors,434.0,6.832204821492958,3.4883391547428277,2.0,4.213450292397658,6.236940298507465,8.959558823529413,21.5
connections,434.0,8.440092165898617,6.418964108205677,2.0,4.0,7.0,10.0,45.0
connections_per_paper,434.0,2.039567737217687,1.1767537891385664,0.375,1.186363636363635,1.8,2.5,9.5
second_order_connections,434.0,29.101382488479263,30.426283883694172,3.0,9.0,16.0,39.75,163.0
second_order_connections_per_paper,434.0,7.001244801522693,7.309064044110707,0.588235294117647,2.5,4.5,9.397727272727273,62.0
third_order_connections,434.0,68.22350230414746,66.16190722996126,3.0,9.0,29.0,127.0,258.0
third_order_connections_per_paper,434.0,17.05967087902394,20.069007383907902,0.6,3.0,9.0,22.95454545454545,99.0
betweenness,434.0,3.264512217953588,14.678297397377012,0.0,0.0,0.001,0.37553673544197774,228.22965315448997
closeness,434.0,2.709837656618293,0.8880163922459158,1.65289256198347,1.67221311611119,3.4672952808165896,3.47524888746158,3.4841402625178906
